Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1000
ssssssss-aaaa-bbbb-cccc-ssssssssssss,,SS,Sickle Cell SS,Sickle Cell SS,Hemoglobin SS disease,HbSS,Concept,N/A,,,,,
hhhhhhhh-aaaa-bbbb-cccc-hhhhhhhhhhhh,,SC,Sickle Cell SC,Sickle Cell SC,Hemoglobin SC disease,HbSC,Concept,N/A,,,,,
tttttttt-aaaa-bbbb-cccc-tttttttttttt,,Beta Thalassemia,Beta Thalassemia,Beta Thalassemia,Beta thalassemia,Beta Thal,Concept,N/A,,,,,
bbbbbbbb-aaaa-bbbb-cccc-bbbbbbbbbbbb,,HbS/β-Thalassemia,HbS/β-Thalassemia,HbS/β-Thalassemia,Hemoglobin S/beta thalassemia,HbS/β-Thal,Concept,N/A,,,,,
eeeeeeee-aaaa-bbbb-cccc-eeeeeeeeeeee,,HbE/β-Thalassemia,HbE/β-Thalassemia,HbE/β-Thalassemia,Hemoglobin E/beta thalassemia,HbE/β-Thal,Concept,N/A,,,,,
cccccccc-aaaa-bbbb-cccc-cccccccccccc,,HbC disease,HbC disease,HbC disease,Hemoglobin C disease,HbCC,Concept,N/A,,,,,
dddddddd-aaaa-bbbb-cccc-dddddddddddd,,HbCC,HbCC,HbCC,Hemoglobin CC disease,HbCC,Concept,N/A,,,,,
aaaaaaaa-aaaa-bbbb-cccc-aaaaaaaaaaaa,,HbCS,HbCS,HbCS,Hemoglobin CS disease,HbCS,Concept,N/A,,,,,
ffffffff-aaaa-bbbb-cccc-ffffffffffff,,HbD disease,HbD disease,HbD disease,Hemoglobin D disease,HbSD,Concept,N/A,,,,,
gggggggg-aaaa-bbbb-cccc-gggggggggggg,,HbSD,HbSD,HbSD,Hemoglobin SD disease,HbSD,Concept,N/A,,,,,
jjjjjjjj-aaaa-bbbb-cccc-jjjjjjjjjjjj,,HbSE,HbSE,HbSE,Hemoglobin SE disease,HbSE,Concept,N/A,,,,,
kkkkkkkk-aaaa-bbbb-cccc-kkkkkkkkkkkk,,HbSO,HbSO,HbSO,Hemoglobin SO disease,HbSO,Concept,N/A,,,,,
llllllll-aaaa-bbbb-cccc-llllllllllll,,Compound heterozygous,Compound heterozygous,Compound heterozygous,Compound heterozygous SCD,Compound het,Concept,N/A,,,,,
mmmmmmmm-aaaa-bbbb-cccc-mmmmmmmmmmmm,,Sickle cell disease,Sickle cell disease,Sickle cell disease,General sickle cell disease,SCD,Concept,N/A,,,,,
nnnnnnnn-aaaa-bbbb-cccc-nnnnnnnnnnnn,,Sickle cell/β-thalassemia,Sickle cell/β-thalassemia,Sickle cell/β-thalassemia,Sickle cell beta thalassemia,SCD/β-Thal,Concept,N/A,,,,,
oooooooo-aaaa-bbbb-cccc-oooooooooooo,,Sickle cell/HbC disease,Sickle cell/HbC disease,Sickle cell/HbC disease,Sickle cell hemoglobin C disease,SCD/HbC,Concept,N/A,,,,,
pppppppp-aaaa-bbbb-cccc-pppppppppppp,,Sickle cell/HbD disease,Sickle cell/HbD disease,Sickle cell/HbD disease,Sickle cell hemoglobin D disease,SCD/HbD,Concept,N/A,,,,,
qqqqqqqq-aaaa-bbbb-cccc-qqqqqqqqqqqq,,Sickle cell/HbE disease,Sickle cell/HbE disease,Sickle cell/HbE disease,Sickle cell hemoglobin E disease,SCD/HbE,Concept,N/A,,,,,
rrrrrrrr-aaaa-bbbb-cccc-rrrrrrrrrrrr,,Sickle cell/α-thalassemia,Sickle cell/α-thalassemia,Sickle cell/α-thalassemia,Sickle cell alpha thalassemia,SCD/α-Thal,Concept,N/A,,,,,
uuuuuuuu-aaaa-bbbb-cccc-uuuuuuuuuuuu,,Other,Other,Other,Other SCD type,Other,Concept,N/A,,,,,
vvvvvvvv-aaaa-bbbb-cccc-vvvvvvvvvvvv,,Unknown,Unknown,Unknown,Unknown SCD type,Unknown,Concept,N/A,,,,,
yyyyyyyy-aaaa-bbbb-cccc-yyyyyyyyyyyy,,Yes,Yes,Oui,Yes,Yes,Yes,Concept,N/A,,,,,
zzzzzzzz-aaaa-bbbb-cccc-zzzzzzzzzzzz,,No,No,Non,No,No,No,Concept,N/A,,,,,
xxxxxxxx-aaaa-bbbb-cccc-xxxxxxxxxxxx,,Positive,Positive,Positif,Positive,Positive,Concept,N/A,,,,,
wwwwwwww-aaaa-bbbb-cccc-wwwwwwwwwwww,,Negative,Negative,Négatif,Negative,Negative,Concept,N/A,,,,
