Uuid,Void/Retire,Name,Description,Parent,Tag|Login Location,Tag|Visit Location,Tag|Facility Location,Tag|Queue Location,Tag|Admission Location,Tag|Appointment Location,Tag|Transfer Location,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000
3d7d61b4-6215-402b-952d-c28d00b665ef,,Ssuubo SCD Hospital,Ssuubo SCD Hospital,,,TRUE,,,,,,,,,,,,,,,256,Uganda,
b7d15d0c-36b3-48da-bd45-c1f8409de2fb,,Outpatient Clinic,Outpatient Clinic,Ssuubo SCD Hospital,TRUE,,TRUE,TRUE,,TRUE,,,,,,,,,,,256,Uganda,
45c62c73-e681-4a16-a22c-63ae847c665e,,Inpatient Ward,Inpatient Ward,Ssuubo SCD Hospital,TRUE,,,,TRUE,,TRUE,,,,,,,,,,256,Uganda,
3244d236-9229-43f5-8e62-3b8d694d749f,,Mobile Clinic,Mobile Clinic,,TRUE,TRUE,,,,,,,,,,,,,,,256,Uganda,
2be09613-c612-41af-8638-022609c38da8,,Emergency Room,Emergency Room,Ssuubo SCD Hospital,TRUE,TRUE,,,,,,,,,,,,,,,256,Uganda,
6ba6500d-74b3-4618-be79-c6a8986b85e8,,Standard SCD Clinic,Standard SCD Clinic,Ssuubo SCD Hospital,TRUE,,,,TRUE,,TRUE,,,,,,,,,,256,Uganda,
8f3a9c2d-4e5b-4a1c-9d7e-2b6f8c3a5d9e,,Pharmacy,Hospital Pharmacy,Ssuubo SCD Hospital,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,256,Uganda,
7e2b8d1c-3f4a-5b6c-8e9d-1a2b3c4d5e6f,,Laboratory,Hospital Laboratory,Ssuubo SCD Hospital,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,256,Uganda,
9a1b2c3d-4e5f-6a7b-8c9d-0e1f2a3b4c5d,,Radiology,Radiology Department,Ssuubo SCD Hospital,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,256,Uganda,
1f2e3d4c-5b6a-7c8d-9e0f-1a2b3c4d5e6f,,Registration,Patient Registration,Ssuubo SCD Hospital,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,256,Uganda,
2a3b4c5d-6e7f-8a9b-0c1d-2e3f4a5b6c7d,,Maternity Ward,Maternity Ward,Ssuubo SCD Hospital,TRUE,,,,TRUE,,TRUE,,,,,,,,,,256,Uganda,
3b4c5d6e-7f8a-9b0c-1d2e-3f4a5b6c7d8e,,Pediatric Ward,Pediatric Ward,Ssuubo SCD Hospital,TRUE,,,,TRUE,,TRUE,,,,,,,,,,256,Uganda,
4c5d6e7f-8a9b-0c1d-2e3f-4a5b6c7d8e9f,,Triage,Triage Area,Ssuubo SCD Hospital,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,256,Uganda,
